year,artist,streams
2017,8 Graves,0.0
2017,"8 Kambarys, Sil",0.0
2017,80KIDZ,14968.0
2017,88GLAM,2039441.0
2017,8BOTSBOYZ,0.0
2017,"8Garad, NICECNX, Pnpee",0.0
2017,8otto,0.0
2017,8utterfly,0.0
2017,"9 Gramm, Endspiel",0.0
2017,9 Miller,507143.0
2017,"9 Theory, Dawn Mitschele, Scarub",0.0
2017,9 grader nord,0.0
2017,90 Horse Power,0.0
2017,98º,1245395.0
2017,99 Percent,0.0
2017,99 Souls,0.0
2017,9MUSES,0.0
2017,9ma,0.0
2017,9nine,0.0
2017,"9sense, HKFiftyOne",0.0
2017,:PM,0.0
2017,@antigo2hard,0.0
2017,A & MOX2,0.0
2017,"A & MOX2, Milo",0.0
2017,A Band Called Success,0.0
2017,A Band of Bitches,0.0
2017,"A Billion Robots, Mike L",0.0
2017,A Blaze of Feather,0.0
2017,A Boogie Wit da Hoodie,386118445.0
2017,A Day To Remember,0.0
2017,A Flock Of Seagulls,0.0
2017,A Giant Dog,0.0
2017,A Great Big World,9896.0
2017,"A Great Big World, Christina Aguilera",473071.0
2017,"A LIGA, GANNAH",0.0
2017,A Little Nothing,0.0
2017,A Most Wanted Man,0.0
2017,A Niu,0.0
2017,A Perfect Circle,0.0
2017,A R I Z O N A,95932996.0
2017,A Rainmaker,0.0
2017,A Second Life,0.0
2017,"A Si, Amber Kuo",30625.0
2017,A Tribe Called Quest,1102.0
2017,A!MS,0.0
2017,A$AP Ferg,207357298.0
2017,"A$AP Ferg, Cam’ron",0.0
2017,A$AP Mob,24892547.0
2017,A$AP Rocky,987827.0
2017,"A$AP Rocky, Lord Flacko",0.0
2017,A$AP Twelvyy,0.0
2017,"A&G, Olivia Escuyos",0.0
2017,A'ANGELI,0.0
2017,A'Studio,0.0
2017,A+,0.0
2017,A-1,0.0
2017,A-Lin,2958790.0
2017,"A-Lin, J.Sheon",283540.0
2017,A-MEN & D-MON,0.0
2017,A-Mei Chang,3123753.0
2017,"A-Mei Chang, E-SO",122545.0
2017,"A-Mei Chang, Eve Ai, LaLa Hsu",98258.0
2017,"A-Mei Chang, Jam Hsiao",57303.0
2017,"A-Mei Chang, Jerry Lin",14317.0
2017,A-Rühm,0.0
2017,A-SHO,0.0
2017,A-Trak,0.0
2017,"A-Trak, Quavo, Lil Yachty",209745.0
2017,A-WA,0.0
2017,A-do,368076.0
2017,"A. Jahnke, Traditional, Lunds Studentsångare, Mats Paulson",0.0
2017,A. Swayze & The Ghosts,0.0
2017,"A.B. Original, Dan Sultan",0.0
2017,"A.B. Original, Paul Kelly",0.0
2017,"A.B. Quintanilla III Y Los Kumbia Kings, Fito Olivares",0.0
2017,A.B.C.D.,0.0
2017,A.C.E,0.0
2017,A.CHAL,0.0
2017,A.D.Z,0.0
2017,A.L.A,0.0
2017,A.O.S.O.O.N,0.0
2017,"A.R. Rahman, Haricharan, Diwakar",0.0
2017,"A.R. Rahman, Shreya Ghoshal",0.0
2017,A/DA 阿達,27648.0
2017,"A/DA 阿達, Chun Feng, Ming Wei Yang",18038.0
2017,"A/DA 阿達, Lulu Huang Lu Zi Yin",147486.0
2017,A1,0.0
2017,"A2, 6LACK",0.0
2017,A2M,0.0
2017,AAA,8118976.0
2017,AB Soto,0.0
2017,ABAO,2552.0
2017,ABBA,890290.0
2017,ABISHA,0.0
2017,ABRA,0.0
2017,"ABRA, Tommy Genesis",0.0
2017,ABREU,1205916.0
2017,"ABRONCA, Leo Justi, Allan Felix",0.0
2017,ABS-CBN Music All Star,155225.0
2017,AC/DC,3679885.0
2017,ACE TEE,0.0
2017,"ACE TEE, Kwame",0.0
2017,ACIDMAN,7657.0
2017,ACOURVE,0.0
2017,ACRU,0.0
2017,"ACRU, Luisaker",0.0
2017,ADAM,0.0
2017,ADAM 888,0.0
2017,ADAMEVA,0.0
2017,ADEN x OLSON,0.0
2017,ADHD,490000.0
2017,"ADL, BK, Funkero, MV Bill",0.0
2017,"ADL, Sant, Raillow, Froid",0.0
2017,"ADP, Jeremih, Ebenezer",0.0
2017,"ADP, Jeremih, Yungen, Not3s",0.0
2017,AFI,0.0
2017,AFK,0.0
2017,AFSHEEN,0.0
2017,"AFSHEEN, NISHA",0.0
2017,AGA,571983.0
2017,"AGA, Gin Lee",1500523.0
